adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
FALSE,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,[35],5,Four Rooms,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,5.7408,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,12/9/1995,FALSE,FALSE,5.918,2901
FALSE,/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg,"[12, 28, 878]",11,Star Wars,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,34.9029,/fai0rspsNeJCS69wHNjOdWxcI7P.jpg,5/25/1977,FALSE,FALSE,8.208,22815
FALSE,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"[16, 10751, 12]",12,Finding Nemo,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",33.3582,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,5/30/2003,FALSE,FALSE,7.82,20932
FALSE,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"[16, 10751, 12]",12,Finding Nemo,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",33.3582,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,5/30/2003,FALSE,FALSE,7.82,20933
FALSE,/66Kn4XWhkuPkJxOJyPEx4U2CUfN.jpg,"[35, 18, 10749]",13,Forrest Gump,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",38.5508,/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,6/23/1994,FALSE,FALSE,8.463,30394
FALSE,/ruF3Lmd4A8MHbnEBE6lxPMbsHGL.jpg,"[9648, 18]",15,Citizen Kane,en,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",11.9043,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,4/17/1941,FALSE,FALSE,7.969,6209
FALSE,/jW21PoKwqs79wk6bfiYezox63mK.jpg,"[878, 28, 12]",18,The Fifth Element,fr,Le Cinquième Élément,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.4492,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,5/2/1997,FALSE,FALSE,7.59,12099
FALSE,/uRNgkJSkNBFbbn9fPsEjDIy8Sh3.jpg,"[12, 14, 28]",22,Pirates of the Caribbean: The Curse of the Black Pearl,en,Pirates of the Caribbean: The Curse of the Black Pearl,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",36.9025,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,7/9/2003,FALSE,FALSE,7.834,22718
FALSE,/uRNgkJSkNBFbbn9fPsEjDIy8Sh3.jpg,"[12, 14, 28]",22,Pirates of the Caribbean: The Curse of the Black Pearl,en,Pirates of the Caribbean: The Curse of the Black Pearl,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",36.9025,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,7/9/2003,FALSE,FALSE,7.834,22715
FALSE,/bQ8fRUaitJvi54O2lUT6Ta7FVHK.jpg,"[18, 10752]",25,Jarhead,en,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",9.8773,/6vdj47RAWOUZBkeQmqToeZ7eaio.jpg,11/4/2005,FALSE,FALSE,6.688,3258
